District ,Crop,Crop_Year,Season,Area ,Production,Yield
AMRITSAR,Arhar/Tur,1997,Kharif     ,1800,1400,0.78
AMRITSAR,Arhar/Tur,1998,Kharif     ,1100,700,0.64
AMRITSAR,Arhar/Tur,1999,Kharif     ,1200,1300,1.08
AMRITSAR,Arhar/Tur,2000,Kharif     ,1200,1400,1.17
AMRITSAR,Arhar/Tur,2001,Kharif     ,1400,1100,0.79
AMRITSAR,Arhar/Tur,2002,Kharif     ,1200,1000,0.83
AMRITSAR,Arhar/Tur,2003,Kharif     ,1500,1400,0.93
AMRITSAR,Arhar/Tur,2004,Kharif     ,1400,1100,0.79
AMRITSAR,Arhar/Tur,2005,Kharif     ,1100,900,0.82
AMRITSAR,Arhar/Tur,2006,Kharif     ,200,200,1
AMRITSAR,Arhar/Tur,2007,Kharif     ,200,200,1
AMRITSAR,Arhar/Tur,2008,Kharif     ,200,200,1
AMRITSAR,Arhar/Tur,2009,Kharif     ,100,100,1
AMRITSAR,Arhar/Tur,2010,Kharif     ,100,100,1
AMRITSAR,Arhar/Tur,2011,Kharif     ,100,100,1
AMRITSAR,Arhar/Tur,2012,Kharif     ,100,100,1
AMRITSAR,Arhar/Tur,2013,Kharif     ,200,200,1
AMRITSAR,Arhar/Tur,2014,Kharif     ,200,180,0.9
AMRITSAR,Arhar/Tur,2015,Kharif     ,200,200,1
AMRITSAR,Arhar/Tur,2016,Kharif     ,400,300,0.75
AMRITSAR,Arhar/Tur,2017,Kharif     ,400,400,1
AMRITSAR,Arhar/Tur,2018,Kharif     ,300,300,1
AMRITSAR,Arhar/Tur,2019,Kharif     ,300,300,1
BARNALA,Arhar/Tur,2007,Kharif     ,100,100,1
BARNALA,Arhar/Tur,2008,Kharif     ,100,100,1
BARNALA,Arhar/Tur,2009,Kharif     ,100,100,1
BARNALA,Arhar/Tur,2010,Kharif     ,100,100,1
BARNALA,Arhar/Tur,2011,Kharif     ,100,100,1
BARNALA,Arhar/Tur,2012,Kharif     ,100,100,1
BARNALA,Arhar/Tur,2013,Kharif     ,100,100,1
BARNALA,Arhar/Tur,2014,Kharif     ,100,90,0.9
BARNALA,Arhar/Tur,2016,Kharif     ,100,100,1
BARNALA,Arhar/Tur,2017,Kharif     ,100,100,1
BARNALA,Arhar/Tur,2018,Kharif     ,100,100,1
BATHINDA,Arhar/Tur,1999,Kharif     ,100,100,1
BATHINDA,Arhar/Tur,2003,Kharif     ,100,100,1
BATHINDA,Arhar/Tur,2016,Kharif     ,200,200,1
FARIDKOT,Arhar/Tur,1999,Kharif     ,100,100,1
FARIDKOT,Arhar/Tur,2000,Kharif     ,100,100,1
FARIDKOT,Arhar/Tur,2001,Kharif     ,100,100,1
FARIDKOT,Arhar/Tur,2003,Kharif     ,300,300,1
FARIDKOT,Arhar/Tur,2004,Kharif     ,200,200,1
FARIDKOT,Arhar/Tur,2005,Kharif     ,100,100,1
FARIDKOT,Arhar/Tur,2006,Kharif     ,100,100,1
FARIDKOT,Arhar/Tur,2010,Kharif     ,100,100,1
FARIDKOT,Arhar/Tur,2016,Kharif     ,100,100,1
FATEHGARH SAHIB,Arhar/Tur,1997,Kharif     ,600,600,1
FATEHGARH SAHIB,Arhar/Tur,1998,Kharif     ,400,300,0.75
FATEHGARH SAHIB,Arhar/Tur,1999,Kharif     ,400,400,1
FATEHGARH SAHIB,Arhar/Tur,2000,Kharif     ,300,300,1
FATEHGARH SAHIB,Arhar/Tur,2001,Kharif     ,300,400,1.33
FATEHGARH SAHIB,Arhar/Tur,2002,Kharif     ,200,200,1
FATEHGARH SAHIB,Arhar/Tur,2003,Kharif     ,200,200,1
FATEHGARH SAHIB,Arhar/Tur,2004,Kharif     ,200,200,1
FATEHGARH SAHIB,Arhar/Tur,2005,Kharif     ,200,200,1
FATEHGARH SAHIB,Arhar/Tur,2006,Kharif     ,100,100,1
FATEHGARH SAHIB,Arhar/Tur,2008,Kharif     ,200,200,1
FATEHGARH SAHIB,Arhar/Tur,2009,Kharif     ,100,100,1
FAZILKA,Arhar/Tur,2016,Kharif     ,2400,2100,0.88
FAZILKA,Arhar/Tur,2017,Kharif     ,200,300,1.5
FIROZEPUR,Arhar/Tur,1997,Kharif     ,200,100,0.5
FIROZEPUR,Arhar/Tur,1998,Kharif     ,200,100,0.5
FIROZEPUR,Arhar/Tur,1999,Kharif     ,200,200,1
FIROZEPUR,Arhar/Tur,2000,Kharif     ,100,100,1
FIROZEPUR,Arhar/Tur,2001,Kharif     ,200,200,1
FIROZEPUR,Arhar/Tur,2002,Kharif     ,200,200,1
FIROZEPUR,Arhar/Tur,2003,Kharif     ,300,300,1
FIROZEPUR,Arhar/Tur,2004,Kharif     ,200,200,1
FIROZEPUR,Arhar/Tur,2005,Kharif     ,200,200,1
FIROZEPUR,Arhar/Tur,2006,Kharif     ,200,200,1
FIROZEPUR,Arhar/Tur,2007,Kharif     ,200,200,1
FIROZEPUR,Arhar/Tur,2008,Kharif     ,100,100,1
FIROZEPUR,Arhar/Tur,2009,Kharif     ,200,200,1
FIROZEPUR,Arhar/Tur,2012,Kharif     ,100,100,1
FIROZEPUR,Arhar/Tur,2017,Kharif     ,100,100,1
GURDASPUR,Arhar/Tur,1997,Kharif     ,100,100,1
GURDASPUR,Arhar/Tur,2004,Kharif     ,100,100,1
GURDASPUR,Arhar/Tur,2005,Kharif     ,100,100,1
HOSHIARPUR,Arhar/Tur,1997,Kharif     ,200,100,0.5
HOSHIARPUR,Arhar/Tur,1998,Kharif     ,100,100,1
HOSHIARPUR,Arhar/Tur,1999,Kharif     ,200,100,0.5
HOSHIARPUR,Arhar/Tur,2000,Kharif     ,100,100,1
HOSHIARPUR,Arhar/Tur,2001,Kharif     ,100,100,1
HOSHIARPUR,Arhar/Tur,2002,Kharif     ,100,100,1
HOSHIARPUR,Arhar/Tur,2003,Kharif     ,100,100,1
HOSHIARPUR,Arhar/Tur,2004,Kharif     ,100,100,1
HOSHIARPUR,Arhar/Tur,2006,Kharif     ,100,100,1
HOSHIARPUR,Arhar/Tur,2007,Kharif     ,100,100,1
HOSHIARPUR,Arhar/Tur,2008,Kharif     ,100,100,1
HOSHIARPUR,Arhar/Tur,2009,Kharif     ,100,100,1
HOSHIARPUR,Arhar/Tur,2011,Kharif     ,100,100,1
HOSHIARPUR,Arhar/Tur,2012,Kharif     ,100,100,1
JALANDHAR,Arhar/Tur,1997,Kharif     ,600,300,0.5
JALANDHAR,Arhar/Tur,1998,Kharif     ,400,300,0.75
JALANDHAR,Arhar/Tur,1999,Kharif     ,600,400,0.67
JALANDHAR,Arhar/Tur,2000,Kharif     ,700,500,0.71
JALANDHAR,Arhar/Tur,2001,Kharif     ,1000,1100,1.1
JALANDHAR,Arhar/Tur,2002,Kharif     ,800,900,1.13
JALANDHAR,Arhar/Tur,2003,Kharif     ,1100,1200,1.09
JALANDHAR,Arhar/Tur,2004,Kharif     ,1200,1400,1.17
JALANDHAR,Arhar/Tur,2005,Kharif     ,1200,1200,1
JALANDHAR,Arhar/Tur,2006,Kharif     ,1000,1100,1.1
JALANDHAR,Arhar/Tur,2007,Kharif     ,900,900,1
JALANDHAR,Arhar/Tur,2008,Kharif     ,1000,1000,1
JALANDHAR,Arhar/Tur,2009,Kharif     ,700,700,1
JALANDHAR,Arhar/Tur,2010,Kharif     ,600,600,1
JALANDHAR,Arhar/Tur,2011,Kharif     ,600,600,1
JALANDHAR,Arhar/Tur,2012,Kharif     ,600,600,1
JALANDHAR,Arhar/Tur,2013,Kharif     ,400,400,1
JALANDHAR,Arhar/Tur,2014,Kharif     ,400,350,0.88
JALANDHAR,Arhar/Tur,2015,Kharif     ,400,410,1.03
JALANDHAR,Arhar/Tur,2016,Kharif     ,300,300,1
JALANDHAR,Arhar/Tur,2017,Kharif     ,300,300,1
JALANDHAR,Arhar/Tur,2018,Kharif     ,300,300,1
JALANDHAR,Arhar/Tur,2019,Kharif     ,200,300,1.5
KAPURTHALA,Arhar/Tur,1997,Kharif     ,100,100,1
KAPURTHALA,Arhar/Tur,2003,Kharif     ,100,100,1
KAPURTHALA,Arhar/Tur,2004,Kharif     ,100,100,1
KAPURTHALA,Arhar/Tur,2005,Kharif     ,100,100,1
LUDHIANA,Arhar/Tur,1997,Kharif     ,3000,2200,0.73
LUDHIANA,Arhar/Tur,1998,Kharif     ,2600,1400,0.54
LUDHIANA,Arhar/Tur,1999,Kharif     ,2300,1700,0.74
LUDHIANA,Arhar/Tur,2000,Kharif     ,2200,1800,0.82
LUDHIANA,Arhar/Tur,2001,Kharif     ,2300,1600,0.7
LUDHIANA,Arhar/Tur,2002,Kharif     ,2000,1600,0.8
LUDHIANA,Arhar/Tur,2003,Kharif     ,2200,1800,0.82
LUDHIANA,Arhar/Tur,2004,Kharif     ,2000,1600,0.8
LUDHIANA,Arhar/Tur,2005,Kharif     ,1900,1500,0.79
LUDHIANA,Arhar/Tur,2006,Kharif     ,1800,1600,0.89
LUDHIANA,Arhar/Tur,2007,Kharif     ,1500,1300,0.87
LUDHIANA,Arhar/Tur,2008,Kharif     ,1400,1100,0.79
LUDHIANA,Arhar/Tur,2009,Kharif     ,1200,1300,1.08
LUDHIANA,Arhar/Tur,2010,Kharif     ,1100,1000,0.91
LUDHIANA,Arhar/Tur,2011,Kharif     ,800,700,0.88
LUDHIANA,Arhar/Tur,2012,Kharif     ,100,800,8
LUDHIANA,Arhar/Tur,2013,Kharif     ,900,800,0.89
LUDHIANA,Arhar/Tur,2014,Kharif     ,700,760,1.09
LUDHIANA,Arhar/Tur,2015,Kharif     ,700,750,1.07
LUDHIANA,Arhar/Tur,2016,Kharif     ,700,500,0.71
LUDHIANA,Arhar/Tur,2017,Kharif     ,600,600,1
LUDHIANA,Arhar/Tur,2018,Kharif     ,600,600,1
LUDHIANA,Arhar/Tur,2019,Kharif     ,600,600,1
MANSA,Arhar/Tur,2016,Kharif     ,100,100,1
MOGA,Arhar/Tur,1997,Kharif     ,300,200,0.67
MOGA,Arhar/Tur,1998,Kharif     ,600,400,0.67
MOGA,Arhar/Tur,1999,Kharif     ,600,400,0.67
MOGA,Arhar/Tur,2000,Kharif     ,800,700,0.88
MOGA,Arhar/Tur,2001,Kharif     ,300,200,0.67
MOGA,Arhar/Tur,2002,Kharif     ,900,600,0.67
MOGA,Arhar/Tur,2003,Kharif     ,1000,600,0.6
MOGA,Arhar/Tur,2004,Kharif     ,900,600,0.67
MOGA,Arhar/Tur,2005,Kharif     ,800,600,0.75
MOGA,Arhar/Tur,2006,Kharif     ,800,700,0.88
MOGA,Arhar/Tur,2007,Kharif     ,600,500,0.83
MOGA,Arhar/Tur,2008,Kharif     ,400,400,1
MOGA,Arhar/Tur,2009,Kharif     ,400,300,0.75
MOGA,Arhar/Tur,2010,Kharif     ,500,600,1.2
MOGA,Arhar/Tur,2011,Kharif     ,200,200,1
MOGA,Arhar/Tur,2012,Kharif     ,300,200,0.67
MOGA,Arhar/Tur,2013,Kharif     ,200,200,1
MOGA,Arhar/Tur,2014,Kharif     ,200,100,0.5
MOGA,Arhar/Tur,2015,Kharif     ,300,300,1
MOGA,Arhar/Tur,2016,Kharif     ,200,200,1
MOGA,Arhar/Tur,2017,Kharif     ,200,200,1
MOGA,Arhar/Tur,2018,Kharif     ,300,400,1.33
MOGA,Arhar/Tur,2019,Kharif     ,300,300,1
MUKTSAR,Arhar/Tur,2000,Kharif     ,100,100,1
MUKTSAR,Arhar/Tur,2001,Kharif     ,700,400,0.57
MUKTSAR,Arhar/Tur,2003,Kharif     ,100,100,1
MUKTSAR,Arhar/Tur,2004,Kharif     ,100,100,1
MUKTSAR,Arhar/Tur,2016,Kharif     ,500,400,0.8
MUKTSAR,Arhar/Tur,2017,Kharif     ,200,200,1
PATIALA,Arhar/Tur,1997,Kharif     ,1000,800,0.8
PATIALA,Arhar/Tur,1998,Kharif     ,600,400,0.67
PATIALA,Arhar/Tur,1999,Kharif     ,400,300,0.75
PATIALA,Arhar/Tur,2000,Kharif     ,400,300,0.75
PATIALA,Arhar/Tur,2001,Kharif     ,300,300,1
PATIALA,Arhar/Tur,2002,Kharif     ,200,200,1
PATIALA,Arhar/Tur,2003,Kharif     ,300,300,1
PATIALA,Arhar/Tur,2004,Kharif     ,200,200,1
PATIALA,Arhar/Tur,2005,Kharif     ,200,200,1
PATIALA,Arhar/Tur,2006,Kharif     ,100,100,1
PATIALA,Arhar/Tur,2007,Kharif     ,100,100,1
PATIALA,Arhar/Tur,2008,Kharif     ,100,100,1
PATIALA,Arhar/Tur,2009,Kharif     ,100,100,1
PATIALA,Arhar/Tur,2012,Kharif     ,100,100,1
RUPNAGAR,Arhar/Tur,1997,Kharif     ,1300,1000,0.77
RUPNAGAR,Arhar/Tur,1998,Kharif     ,1000,800,0.8
RUPNAGAR,Arhar/Tur,1999,Kharif     ,600,600,1
RUPNAGAR,Arhar/Tur,2000,Kharif     ,700,500,0.71
RUPNAGAR,Arhar/Tur,2001,Kharif     ,500,400,0.8
RUPNAGAR,Arhar/Tur,2002,Kharif     ,300,300,1
RUPNAGAR,Arhar/Tur,2003,Kharif     ,300,200,0.67
RUPNAGAR,Arhar/Tur,2004,Kharif     ,300,200,0.67
RUPNAGAR,Arhar/Tur,2005,Kharif     ,200,200,1
RUPNAGAR,Arhar/Tur,2006,Kharif     ,100,100,1
