Crop,Crop_Year,Area,Production,Yield
Rice,1997,292000,879000.0,3.01
Rice,1998,305000,878000.0,2.88
Rice,1999,319000,991000.0,3.11
Rice,2000,319000,972000.0,3.05
Rice,2001,319000,958000.0,3.0
Rice,2002,311000,879000.0,2.83
Rice,2003,326000,872000.0,2.67
Rice,2004,334000,1034000.0,3.1
Rice,2005,345000,1003000.0,2.91
Rice,2006,178000,538000.0,3.02
Rice,2007,178000,546000.0,3.07
Rice,2008,183000,532000.0,2.91
Rice,2009,185000,501000.0,2.71
Rice,2010,186000,503000.0,2.7
Rice,2011,184000,482000.0,2.62
Rice,2012,185000,544000.0,2.94
Rice,2013,182000,518000.0,2.85
Rice,2014,182000,505000.0,2.77
Rice,2015,181000,513000.0,2.83
Rice,2016,180000,574000.0,3.19
Rice,2017,180000,677000.0,3.76
Rice,2018,180000,537000.0,2.98
Rice,2019,181000,598000.0,3.3
Rice,2007,99000,466000.0,4.71
Rice,2008,102000,485000.0,4.75
Rice,2009,104000,496000.0,4.77
Rice,2010,105000,465000.0,4.43
Rice,2011,105000,459000.0,4.37
Rice,2012,106000,490000.0,4.62
Rice,2013,107000,500000.0,4.67
Rice,2014,108000,507000.0,4.69
Rice,2015,110000,511000.0,4.65
Rice,2016,112000,516000.0,4.61
Rice,2017,113000,565000.0,5.0
Rice,2018,114000,567000.0,4.97
Rice,2019,114000,525000.0,4.61
Rice,1997,53000,212000.0,4.0
Rice,1998,84000,287000.0,3.42
Rice,1999,99000,392000.0,3.96
Rice,2000,99000,350000.0,3.54
Rice,2001,82000,307000.0,3.74
Rice,2002,107000,367000.0,3.43
Rice,2003,105000,419000.0,3.99
Rice,2004,102000,415000.0,4.07
Rice,2005,95000,385000.0,4.05
Rice,2006,87000,358000.0,4.11
Rice,2007,86000,368000.0,4.28
Rice,2008,97000,427000.0,4.4
Rice,2009,104000,476000.0,4.58
Rice,2010,107000,437000.0,4.08
Rice,2011,101000,409000.0,4.05
Rice,2012,107000,458000.0,4.28
Rice,2013,111000,501000.0,4.51
Rice,2014,119000,529000.0,4.45
Rice,2015,137000,620000.0,4.53
Rice,2016,152000,689000.0,4.53
Rice,2017,160000,747000.0,4.67
Rice,2018,167000,762000.0,4.56
Rice,2019,179000,764000.0,4.27
Rice,1997,56000,214000.0,3.82
Rice,1998,82000,246000.0,3.0
Rice,1999,90000,305000.0,3.39
